4168,303,484,162,197
4210,311,6,6,84
4252,312,2,22,47
4294,341,348,129,109
4336,408,344,121,119
4378,399,295,85,101
4421,402,91,19,51
4463,371,310,6,37
4505,309,132,10,29
4547,333,0,31,28
4589,399,188,6,29
4631,413,170,7,12
4673,431,216,16,32
4715,430,277,55,57
4757,431,235,14,39
4799,435,253,21,31
4842,455,252,6,20
4884,455,238,7,26
4926,452,272,12,27
4968,425,240,6,18
5010,435,256,5,26
5052,430,340,7,25
5094,440,325,158,117
5136,396,346,264,210
5178,313,272,287,254
5221,306,58,206,220
5263,325,260,104,150
5305,388,7,76,100
5347,423,8,8,54
5389,415,175,6,37
5431,428,348,8,33
5473,332,357,8,39
5515,317,192,146,127
5558,320,7,7,56
5600,364,7,7,37
5642,554,313,6,32
5684,558,315,7,30
5726,550,330,7,27
5768,559,332,6,26
5810,534,355,7,26
5852,241,379,17,37
5894,240,400,6,24
5936,240,405,9,29
5978,232,416,9,27
6020,229,400,87,72
6062,234,394,96,92
6104,238,394,6,47
6147,221,378,37,42
6189,224,394,28,46
6231,226,415,8,31
6273,215,436,8,31
6315,217,432,71,67
6356,219,459,34,52
6398,215,469,21,43
6440,186,456,6,35
6482,228,457,15,36
6525,207,461,5,40
6567,194,450,6,31
6609,229,441,9,27
6651,215,441,9,37
6693,186,447,43,51
6735,191,467,146,117
6777,231,460,131,127
6819,146,448,79,102
6862,148,414,113,114
6904,153,396,114,117
6946,222,400,118,121
6988,215,410,71,95
7030,213,410,0,45
7072,162,465,7,37
7115,214,442,7,29
7157,168,437,37,44
7199,153,406,64,64
7241,162,371,50,63
7283,167,369,74,83
7325,165,389,93,94
7367,171,386,50,74
7409,177,403,96,93
7451,188,409,124,107
7494,190,405,79,98
7536,192,407,71,87
7578,200,427,151,120
7620,203,424,88,107
7662,201,409,58,85
7705,199,414,82,87
7747,189,444,73,81
7789,194,400,66,72
7831,205,390,93,85
7873,208,357,95,92
7915,218,371,58,78
7957,214,382,92,92
7999,202,392,112,115
8042,218,414,129,128
8084,236,368,107,115
8126,240,374,151,128
8168,242,330,104,118
8211,234,382,113,118
8253,243,335,7,57
8295,238,347,8,37
8337,237,346,6,33
8379,265,358,0,36
8421,266,335,6,16
8463,269,346,179,133
8505,279,328,173,152
8548,301,303,164,152
8590,262,304,95,124
8632,266,321,32,75
8674,265,312,80,74
8716,258,327,46,67
8758,263,338,50,57
8800,277,371,7,39
8843,319,281,7,30
8885,291,325,6,26
8927,280,330,7,29
8969,284,239,10,30
9011,297,313,28,37
9053,307,288,8,31
9095,309,299,9,27
9137,311,244,16,39
9179,326,256,11,34
9221,329,263,11,41
9264,343,264,20,31
9306,362,282,44,49
9348,377,273,28,42
9390,386,306,13,38
9432,385,274,0,31
9474,382,242,7,29
9516,380,244,13,30
9558,725,256,0,35
9600,630,277,16,35
9643,707,254,7,30
9684,724,227,6,28
