4090,113,130,501,84
4133,115,130,502,96
4175,114,143,504,102
4217,116,132,497,124
4259,115,130,498,100
4301,115,130,498,101
4344,115,131,501,84
4386,113,128,520,104
4428,114,129,497,101
4470,116,129,494,101
4512,116,131,499,105
4555,115,128,507,102
4597,116,130,501,106
4639,116,130,497,123
4681,115,130,498,101
4724,114,135,500,102
4766,115,131,523,115
4808,114,128,532,108
4850,116,129,498,102
4892,117,128,533,105
4935,115,106,544,105
4977,113,129,497,111
5019,115,131,505,103
5061,114,135,504,103
5104,114,133,498,101
5146,115,130,499,102
5188,116,147,498,100
5230,115,133,498,102
5273,117,131,503,102
5315,117,123,515,104
5357,114,130,497,107
5399,116,130,498,101
5441,116,130,499,101
5484,114,131,499,102
5526,115,130,516,109
5568,115,130,498,102
5610,115,131,499,102
5653,114,131,499,101
5695,114,118,515,103
5737,115,129,500,105
5779,114,129,498,101
5821,115,129,498,102
5864,116,130,498,102
5906,114,129,497,123
5948,115,130,501,101
5990,114,130,498,102
6033,115,131,503,101
6075,114,116,524,103
6117,115,129,498,100
6159,113,129,498,101
6201,114,129,497,101
6244,116,143,501,102
6286,114,132,512,111
6328,115,130,497,100
6370,116,130,498,102
6413,115,130,498,82
6455,115,116,524,103
6497,116,129,499,100
6539,115,129,497,82
6581,115,130,497,102
6624,117,116,527,103
6666,117,129,498,82
6708,114,129,497,96
6750,117,130,503,102
6792,117,117,524,96
6835,115,129,498,88
6877,113,129,498,101
6919,115,129,498,101
6961,115,116,523,100
7003,113,128,498,100
7046,115,129,495,102
7088,113,130,498,82
7130,113,135,498,102
7172,116,132,501,123
7215,114,130,503,104
7257,114,130,497,102
7299,114,133,496,102
7341,116,128,522,127
7383,115,130,497,120
7426,113,130,502,101
7468,114,128,529,107
7510,112,128,534,105
7552,114,131,502,125
7595,113,114,533,104
7636,114,128,509,103
7678,116,133,499,103
7720,115,116,523,103
7763,116,149,501,101
7805,114,133,498,101
7847,117,130,498,101
7889,115,147,506,102
7931,114,133,501,101
7974,115,130,502,101
8016,116,131,500,102
8058,115,132,500,103
8100,115,121,511,103
8143,113,130,498,105
8185,115,130,499,101
8227,114,130,498,101
8269,114,143,497,102
8312,114,132,494,102
8354,113,130,498,102
8396,114,130,498,102
8438,116,131,495,102
8480,116,118,518,103
8523,115,129,497,102
8565,116,130,502,102
8607,113,130,501,102
8649,115,129,501,101
8692,115,130,498,103
8734,115,130,498,102
8776,116,130,498,101
8818,114,131,499,102
8860,116,117,524,100
8903,115,129,497,104
8945,116,129,498,102
8987,115,129,498,100
9029,114,129,497,101
9072,116,129,519,110
9114,116,130,501,124
9156,116,131,498,102
9198,115,130,499,102
9241,116,128,534,107
9283,114,128,530,119
9325,114,129,498,101
9367,114,114,531,103
9409,116,128,508,103
9452,114,128,521,104
9494,117,143,503,89
9536,114,135,505,103
9578,113,134,499,101
9621,116,128,509,103
9663,114,147,501,109
9705,114,134,498,101
9747,115,130,501,101
9789,116,149,507,103
9832,115,133,514,111
9874,116,130,498,100
9916,116,131,499,102
9958,115,131,499,102
10001,114,131,503,102
10043,114,132,510,125
10085,114,131,498,102
10127,116,130,498,102
10170,114,130,495,102
10212,116,136,500,103
10254,115,128,523,103
10296,114,129,498,106
10339,115,130,497,127
10381,112,130,497,102
10423,115,129,497,101
10466,115,143,503,103
10508,113,136,528,106
10550,116,131,498,100
10592,117,131,498,102
10635,115,130,499,102
10677,114,130,499,101
10719,114,143,502,102
10761,115,132,498,101
10804,115,130,497,102
10846,117,130,498,102
10888,116,130,498,82
10931,114,143,496,103
10973,116,128,518,103
11015,30128,130,526,118
11057,114,143,503,88
11100,115,133,498,101
11142,116,134,500,102
11184,115,146,501,103
11226,116,128,523,104
11269,115,130,498,106
11311,114,130,499,102
11353,115,129,498,101
11396,115,130,499,102
11438,113,143,501,102
11480,115,132,498,101
11522,115,130,497,88
11565,115,130,498,106
11607,114,131,498,127
11649,115,134,497,102
11691,116,98,556,106
11734,114,112,536,88
11776,114,128,498,101
11817,114,143,503,102
11859,115,149,501,102
11902,115,128,522,103
11944,114,129,498,104
11986,115,130,499,102
12028,112,130,497,101
12071,116,130,494,101
12113,116,145,497,102
12155,113,132,498,101
12198,114,130,497,101
12240,116,130,498,84
12282,115,130,494,82
12324,116,143,501,103
12366,117,128,522,119
12409,116,130,526,114
12451,114,130,501,101
12493,116,129,498,101
12536,115,143,503,102
12578,114,130,506,103
12620,116,131,497,123
12662,117,131,499,102
12705,113,130,498,102
12747,115,130,498,101
12789,116,133,496,102
12831,113,117,520,102
12874,114,129,497,101
12916,116,129,501,100
12958,114,130,498,84
13000,115,131,502,103
13043,117,139,502,102
13085,116,132,544,121
13127,115,130,497,88
13169,117,130,498,101
13212,114,135,504,103
13254,114,132,497,102
13296,116,128,522,104
13339,115,130,499,101
13381,115,130,498,102
13423,116,130,498,101
13465,115,130,502,102
13508,115,143,501,102
13550,115,132,520,105
13592,116,130,501,101
13634,116,130,501,84
13677,116,130,499,102
13719,115,135,500,102
13761,115,128,523,127
13803,115,130,498,106
13846,115,130,498,101
13888,114,143,504,103
13930,114,150,501,102
13973,116,134,497,102
14015,116,131,514,109
14057,115,131,499,88
14099,116,130,498,102
