4088,2274,678,0,732
4130,2266,704,7,709
4172,2265,712,9,709
4215,2265,687,5,707
4257,2266,706,39,708
4299,2265,716,27,717
4341,2261,679,5,690
4383,2264,720,9,708
4426,2265,720,6,742
4468,2270,689,19,705
4510,2260,684,36,705
4552,2276,720,8,707
4594,2257,691,5,711
4637,2262,672,5,687
4679,2266,706,9,712
4721,2272,693,25,715
4763,2277,680,5,726
4805,2255,704,7,709
4847,2274,712,9,709
4890,2269,693,23,710
4932,2275,692,12,684
4974,2279,704,9,712
5016,2270,692,5,712
5058,2264,714,31,709
5101,2255,709,7,738
5143,2273,688,23,704
5185,2272,684,31,705
5227,2267,688,8,685
5269,2265,679,0,736
5312,2277,680,5,708
5354,2259,704,7,711
5396,2270,695,25,716
5438,2263,680,5,724
5480,2276,691,6,708
5523,2264,692,7,686
5565,2270,685,15,709
5607,2264,700,6,714
5649,2273,706,7,709
5691,2265,691,5,712
5733,2265,708,48,717
5776,2272,709,7,715
5818,2258,676,52,681
5860,2260,677,32,703
5902,2272,692,15,712
5945,2262,679,4,734
5987,2267,679,19,705
6029,2268,680,5,705
6071,2268,702,11,718
6113,2269,667,0,706
6156,2270,676,6,704
6198,2264,685,6,711
6240,2261,687,14,706
6282,2271,681,0,736
6324,2270,681,5,704
6367,2271,681,5,709
6409,2264,670,41,681
6451,0,682,65,717
6493,0,680,23,710
6535,-11346,683,27,705
6577,0,701,0,737
6619,0,686,52,703
6661,2259,700,30,708
6704,2265,666,0,714
6746,2256,676,5,709
6788,2260,682,5,711
6830,2255,686,24,749
6872,2259,682,0,776
6915,2251,677,5,701
6957,2250,680,4,746
6999,2253,670,25,721
7041,2248,672,5,722
7083,2250,677,0,748
7126,2250,681,18,748
7168,2245,687,23,716
7209,2238,676,5,719
7251,2238,680,0,745
7293,2234,669,27,682
7336,2228,694,55,704
7378,2223,679,1,744
7420,2225,678,5,706
7462,2224,681,5,710
7504,2226,685,3,744
7546,2208,682,0,755
7589,2209,669,5,685
7631,2208,677,0,744
7673,2207,683,4,758
7715,2211,677,5,703
7757,2194,678,5,735
7800,2204,677,5,713
7842,2191,682,4,744
7884,2199,679,5,697
7926,2193,680,5,707
7968,2183,691,25,712
8010,2187,679,36,732
8053,2183,678,5,734
8095,2184,676,5,702
8137,2180,679,15,706
8179,2174,681,5,742
8221,2163,682,5,741
8264,2169,683,5,709
8306,2160,698,9,714
8348,2163,684,5,735
8390,2146,676,5,698
8432,2150,680,5,707
8475,2148,687,26,713
8517,2143,680,5,707
8559,2140,682,5,710
8601,2142,685,23,708
8643,2136,687,31,714
8686,2137,673,5,719
8728,2121,678,5,715
8770,0,683,19,710
8812,2114,679,18,730
8854,2105,678,5,708
8896,2098,681,5,710
8939,0,700,7,712
8981,0,680,5,698
9023,2104,688,6,712
9065,2093,686,11,713
9107,2065,680,5,709
9149,2077,684,5,710
9191,2082,682,6,704
9234,2067,685,13,709
9276,2074,683,40,703
9318,2059,681,5,710
9360,2052,682,6,706
9402,2060,687,15,711
9445,2057,683,39,715
